epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,703.814,0.831,1.99001,0.92565,0.59773,0.70149,0.68518,0.5749,0.61054,0.99309,0.84628,0.000151591,0.000151591,0.000151591
2,1391,0.73488,1.14392,0.89592,0.70325,0.76994,0.77172,0.65652,0.57572,0.82639,0.84394,0.00029325,0.00029325,0.00029325
3,2083.96,0.71049,0.95174,0.88955,0.78002,0.78034,0.79407,0.68083,0.55954,0.77152,0.83594,0.000424899,0.000424899,0.000424899
4,2768.15,0.68666,0.84326,0.88481,0.76351,0.79132,0.806,0.69823,0.52864,0.73244,0.83196,0.000409955,0.000409955,0.000409955
5,3441.12,0.66672,0.77504,0.88054,0.83148,0.79639,0.83525,0.72947,0.50928,0.66222,0.82785,0.00039494,0.00039494,0.00039494
6,4120.37,0.64861,0.7242,0.8773,0.84097,0.80492,0.84998,0.7442,0.50651,0.62196,0.82966,0.000379925,0.000379925,0.000379925
7,4800.54,0.63332,0.68935,0.87414,0.83677,0.82846,0.86252,0.76005,0.49019,0.60623,0.82481,0.00036491,0.00036491,0.00036491
8,5475.98,0.62198,0.65637,0.87231,0.86446,0.8386,0.877,0.78016,0.47647,0.56716,0.82233,0.000349895,0.000349895,0.000349895
9,6275.86,0.60821,0.62459,0.86686,0.86785,0.84811,0.88948,0.78882,0.46891,0.53381,0.82084,0.00033488,0.00033488,0.00033488
